Experiment Name,Feature Combo,Model Type,Horizon,Bear Threshold,Test Market Regime,Test Market Return,Test Bull Ratio,Test Bear Ratio,MAE,MSE,RMSE,Direction Acc,Correlation,R2,Sharpe,Sortino,Max DD,CAGR,Total Return,Win Rate,N Trades,Avg Trade Return,Buy & Hold Benchmark Name,Buy & Hold Return,Buy & Hold CAGR,Buy & Hold Sharpe,Buy & Hold Max DD,Buy & Hold Return Raw,Buy & Hold Return After Cost,Excess Return vs B&H,Beats Buy & Hold,Val Sharpe,Val CAGR,Best Holding Days,Best Cooldown,Best Threshold,Best Base Exposure,Best Defensive Exposure,Best Signal EMA Alpha
stock_only_regime_switch_h2_t12,stock_only,regime_switch,2,-0.12,bull,0.31895716091487736,0.967948717948718,0.03205128205128205,0.010840571,0.00019194446,0.013854402,0.6346153846153846,-0.05041427523108203,-0.008756399,2.468276362948573,3.6772873768729273,-0.06704351116781794,0.528680910520863,0.2982833466886383,0.5870967741935483,1,0.0018441506546506376,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.010353221381851796,False,0.5214458104491998,0.09737724113740742,5,0,0.004,,,
stock_only_regime_switch_h2_t15,stock_only,regime_switch,2,-0.15,bull,0.31895716091487736,1.0,0.0,0.0110489875,0.00020200376,0.014212803,0.6346153846153846,0.049762077177217146,-0.06162262,-0.3347954372267092,-0.19630018626078619,-0.010278224625688148,0.012257482072608461,0.007521638342556258,0.8333333333333334,1,0.0025834201561420957,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.30111492972793386,False,0.4015456606740804,0.06739347870089185,3,0,0.008,,,
stock_only_regime_switch_h2_t18,stock_only,regime_switch,2,-0.18,bull,0.31895716091487736,1.0,0.0,0.013014431,0.00025111562,0.015846629,0.36538461538461536,-0.051441676398577434,-0.31972802,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.3086365680704901,False,0.0,0.0,2,0,0.004,,,
stock_only_regime_switch_h2_t20,stock_only,regime_switch,2,-0.2,bull,0.31895716091487736,1.0,0.0,0.011251815,0.00019780562,0.014064339,0.6346153846153846,-0.027792618795025148,-0.039559484,-0.20883178629985272,-0.14535456018158455,-0.04615479758251645,0.0032927277773073804,0.002024007392821048,0.52,2,0.0010809113695138576,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.30661256067766907,False,1.406463346693689,0.14176898594869125,5,0,0.004,,,
stock_only_regime_switch_h3_t10,stock_only,regime_switch,3,-0.1,bull,0.30728921011851873,0.8838709677419355,0.11612903225806452,0.013438107,0.00027297827,0.016522054,0.6193548387096774,0.09552707266290217,-0.0026301146,0.5495018690774048,0.7326694933977301,-0.07396654932992018,0.09536913436893202,0.0572455370947087,0.5660377358490566,14,0.0018491187700345494,after_cost,0.2970429271582975,0.5305037237903183,2.4831610529317247,-0.067043511167818,0.30728921011851873,0.2970429271582975,-0.2397973900635888,False,0.2084211641094865,0.04122357909622387,8,1,0.004,,,
stock_only_regime_switch_h3_t12,stock_only,regime_switch,3,-0.12,bull,0.30728921011851873,0.967741935483871,0.03225806451612903,0.014946107,0.00033951926,0.018426048,0.38064516129032255,0.045255266153355504,-0.2470305,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,after_cost,0.2970429271582975,0.5305037237903183,2.4831610529317247,-0.067043511167818,0.30728921011851873,0.2970429271582975,-0.2970429271582975,False,0.0,0.0,3,0,0.004,,,
stock_only_regime_switch_h3_t15,stock_only,regime_switch,3,-0.15,bull,0.30728921011851873,1.0,0.0,0.013688355,0.00028228006,0.016801191,0.6193548387096774,-0.059550571421775,-0.0367949,2.39304000776874,3.574187681434888,-0.06704351116781794,0.5107397174056729,0.2867814283630783,0.5844155844155844,1,0.0017981691534278193,after_cost,0.2970429271582975,0.5305037237903183,2.4831610529317247,-0.067043511167818,0.30728921011851873,0.2970429271582975,-0.010261498795219204,False,0.4679549993236943,0.08209220476452628,3,0,0.004,,,
stock_only_regime_switch_h3_t18,stock_only,regime_switch,3,-0.18,bull,0.30728921011851873,1.0,0.0,0.013620527,0.000278701,0.01669434,0.6193548387096774,-0.0859625073812067,-0.023649216,2.39304000776874,3.574187681434888,-0.06704351116781794,0.5107397174056729,0.2867814283630783,0.5844155844155844,1,0.0017981691534278193,after_cost,0.2970429271582975,0.5305037237903183,2.4831610529317247,-0.067043511167818,0.30728921011851873,0.2970429271582975,-0.010261498795219204,False,1.3164242090451954,0.2689678650287659,3,0,0.004,,,
stock_only_regime_switch_h3_t20,stock_only,regime_switch,3,-0.2,bull,0.30728921011851873,1.0,0.0,0.015832623,0.00038970142,0.019740857,0.6193548387096774,0.007934806249112976,-0.43134606,2.39304000776874,3.574187681434888,-0.06704351116781794,0.5107397174056729,0.2867814283630783,0.5844155844155844,1,0.0017981691534278193,after_cost,0.2970429271582975,0.5305037237903183,2.4831610529317247,-0.067043511167818,0.30728921011851873,0.2970429271582975,-0.010261498795219204,False,1.3164242090451954,0.2689678650287659,3,0,0.004,,,
stock_only_regime_switch_h4_t10,stock_only,regime_switch,4,-0.1,bull,0.29886393640754916,0.8831168831168831,0.11688311688311688,0.015189496,0.00035640728,0.018878752,0.6688311688311688,0.09353347785791752,-0.03290665,2.2209559876762937,3.332285020036768,-0.08394250030114309,0.3419977703784529,0.19553856359113753,0.6363636363636364,11,0.0031567966964564584,after_cost,0.2886536270514266,0.5184510658808212,2.427438682999829,-0.067043511167818,0.29886393640754894,0.2886536270514266,-0.09311506346028908,False,0.07164865407632537,0.01984365764902507,8,1,0.004,,,
