Date,Open,High,Low,Close,Volume
2018-04-10 00:00:00+08:00,10885.64,10975.67,10874.83,10927.18,2943400
2018-04-11 00:00:00+08:00,10961.7,11016.35,10953.31,10974.02,2560400
2018-04-12 00:00:00+08:00,10984.12,11008.2,10920.62,10955.29,2248200
2018-04-13 00:00:00+08:00,10975.58,10988.23,10938.37,10965.39,2400400
2018-04-16 00:00:00+08:00,10962.36,10974.94,10921.17,10954.55,2341000
2018-04-17 00:00:00+08:00,10953.51,10965.2,10799.07,10810.45,2646400
2018-04-18 00:00:00+08:00,10842.88,10917.6,10809.89,10847.89,2189700
2018-04-19 00:00:00+08:00,10891.66,10983.96,10889.71,10971.22,2490200
2018-04-20 00:00:00+08:00,10802.42,10831.56,10770.05,10779.38,2349600
2018-04-23 00:00:00+08:00,10756.89,10774.73,10687.25,10697.13,2324700
2018-04-24 00:00:00+08:00,10680.38,10692.19,10540.15,10579.5,2664800
2018-04-25 00:00:00+08:00,10541.83,10573.73,10489.2,10559.97,2555100
2018-04-26 00:00:00+08:00,10583.08,10618.68,10478.98,10488.58,2633700
2018-04-27 00:00:00+08:00,10546.29,10573.61,10495.67,10553.43,2079000
2018-04-30 00:00:00+08:00,10553.41,10660.61,10539.63,10657.88,2120800
2018-05-02 00:00:00+08:00,10665.52,10683.9,10601.1,10618.81,2252100
2018-05-03 00:00:00+08:00,10578.98,10578.98,10509.03,10514.18,2113300
2018-05-04 00:00:00+08:00,10516.45,10566.37,10500.97,10529.37,2055900
2018-05-07 00:00:00+08:00,10581.78,10632.62,10555.56,10604.91,1965200
2018-05-08 00:00:00+08:00,10610.44,10691.38,10609.04,10691.38,2300800
2018-05-09 00:00:00+08:00,10692.89,10748.6,10689.81,10703.35,2414400
2018-05-10 00:00:00+08:00,10731.68,10782.06,10731.68,10760.21,2472700
2018-05-11 00:00:00+08:00,10808.4,10874.63,10808.4,10858.98,2782800
2018-05-14 00:00:00+08:00,10938.3,10970.24,10908.86,10952.39,2550800
2018-05-15 00:00:00+08:00,10965.08,10978.38,10874.73,10874.73,2652800
2018-05-16 00:00:00+08:00,10873.54,10915.74,10865.07,10897.57,2905400
2018-05-17 00:00:00+08:00,10911.74,10938.63,10833.81,10833.81,2510000
2018-05-18 00:00:00+08:00,10844.09,10893.35,10819.07,10830.84,2570800
2018-05-21 00:00:00+08:00,10861.66,10979.1,10861.66,10966.2,2401700
2018-05-22 00:00:00+08:00,10986.77,11034.12,10938.73,10938.73,2535800
2018-05-23 00:00:00+08:00,10974.52,10991.86,10886.18,10886.18,2468500
2018-05-24 00:00:00+08:00,10910.61,10942.64,10883.52,10936.93,2239900
2018-05-25 00:00:00+08:00,10946.62,10977.81,10918.12,10942.3,2219900
2018-05-28 00:00:00+08:00,10976.49,10999.43,10965.18,10987.77,2463800
2018-05-29 00:00:00+08:00,10979.68,10986.53,10929.56,10964.12,2424700
2018-05-30 00:00:00+08:00,10925.21,10925.21,10799.75,10821.17,3159000
2018-05-31 00:00:00+08:00,10856.03,10909.61,10853.65,10874.96,4494100
2018-06-01 00:00:00+08:00,10882.68,10954.67,10876.97,10949.08,2817400
2018-06-04 00:00:00+08:00,11002.15,11109.5,11002.15,11109.5,2890900
2018-06-05 00:00:00+08:00,11130.03,11131.08,11054.62,11100.11,3024000
2018-06-06 00:00:00+08:00,11111.14,11207.15,11111.14,11201.83,3038200
2018-06-07 00:00:00+08:00,11228.64,11261.68,11188.99,11251.75,3563000
2018-06-08 00:00:00+08:00,11243.59,11243.59,11122.98,11156.42,2935100
2018-06-11 00:00:00+08:00,11168.99,11186.67,11118.81,11149.23,2763200
2018-06-12 00:00:00+08:00,11140.02,11160.05,11088.53,11144.79,3009100
2018-06-13 00:00:00+08:00,11153.2,11188.01,11119.24,11173.21,3259400
2018-06-14 00:00:00+08:00,11143.04,11143.04,11013.98,11013.98,3145600
2018-06-15 00:00:00+08:00,10998.2,11087.47,10981.61,11087.47,3547100
2018-06-19 00:00:00+08:00,11008.77,11008.77,10904.19,10904.19,3158000
2018-06-20 00:00:00+08:00,10904.8,10969.2,10842.56,10927.44,3060000
2018-06-21 00:00:00+08:00,10949.85,10992.31,10941.07,10941.07,2522200
2018-06-22 00:00:00+08:00,10901.25,10914.83,10828.86,10899.28,2733900
2018-06-25 00:00:00+08:00,10834.07,10851.16,10786.46,10786.46,2393700
2018-06-26 00:00:00+08:00,10730.9,10752.99,10651.42,10742.17,2616000
2018-06-27 00:00:00+08:00,10766.88,10800.34,10701.03,10701.03,2357900
2018-06-28 00:00:00+08:00,10669.42,10723.84,10633.01,10654.28,2259600
2018-06-29 00:00:00+08:00,10667.64,10836.91,10667.64,10836.91,2256100
2018-07-02 00:00:00+08:00,10852.17,10886.2,10777.94,10777.94,2244500
2018-07-03 00:00:00+08:00,10802.88,10873.48,10707.68,10715.72,2685900
2018-07-04 00:00:00+08:00,10714.25,10752.05,10680.44,10721.87,2081200
2018-07-05 00:00:00+08:00,10690.91,10709.8,10585.27,10611.81,2075800
2018-07-06 00:00:00+08:00,10645.66,10665.72,10523.58,10608.57,2613100
2018-07-09 00:00:00+08:00,10638.9,10746.74,10638.9,10720.28,2329300
2018-07-10 00:00:00+08:00,10737.62,10776.47,10728.24,10756.89,2427500
2018-07-11 00:00:00+08:00,10693.64,10693.64,10635.03,10676.84,2140700
2018-07-12 00:00:00+08:00,10644.91,10752.57,10643.65,10738.38,2053500
2018-07-13 00:00:00+08:00,10769.7,10864.54,10769.7,10864.54,2134000
2018-07-16 00:00:00+08:00,10867.97,10890.2,10817.45,10817.45,1889400
2018-07-17 00:00:00+08:00,10802.75,10818.84,10758.83,10778.99,2029100
2018-07-18 00:00:00+08:00,10811.43,10872.74,10788.37,10842.46,2388600
2018-07-19 00:00:00+08:00,10868.56,10896.25,10826.14,10835.38,2052700
2018-07-20 00:00:00+08:00,10932.51,10963.95,10893.73,10932.11,2245800
2018-07-23 00:00:00+08:00,10929.46,10984.84,10901.75,10946.89,2153400
2018-07-24 00:00:00+08:00,10937.77,10995.39,10917.61,10995.39,2213600
2018-07-25 00:00:00+08:00,10957.66,10992.29,10956.0,10965.79,1970700
2018-07-26 00:00:00+08:00,10969.35,11018.19,10966.33,11010.61,2336000
2018-07-27 00:00:00+08:00,11023.07,11075.78,11009.16,11075.78,2230900
2018-07-30 00:00:00+08:00,11072.7,11080.41,11001.15,11033.54,2141500
2018-07-31 00:00:00+08:00,10997.73,11057.51,10976.46,11057.51,2513500
2018-08-01 00:00:00+08:00,11062.36,11100.02,11058.28,11098.13,2144000
2018-08-02 00:00:00+08:00,11095.67,11095.67,10919.13,10929.77,2168200
2018-08-03 00:00:00+08:00,10957.3,11012.43,10957.3,11012.43,1956900
2018-08-06 00:00:00+08:00,10997.26,11054.49,10994.97,11024.1,1896400
2018-08-07 00:00:00+08:00,11024.97,11030.09,10983.44,10983.44,1987900
2018-08-08 00:00:00+08:00,11026.07,11095.5,11026.07,11075.25,2141000
2018-08-09 00:00:00+08:00,11063.62,11063.62,11001.96,11028.07,2004300
2018-08-10 00:00:00+08:00,11009.96,11033.89,10972.25,10983.68,2143300
2018-08-13 00:00:00+08:00,10939.68,10939.68,10693.73,10748.92,2883800
2018-08-14 00:00:00+08:00,10797.95,10829.85,10755.53,10824.23,2280700
2018-08-15 00:00:00+08:00,10827.28,10827.28,10688.59,10716.75,2450800
2018-08-16 00:00:00+08:00,10663.57,10725.71,10606.26,10683.9,2348700
2018-08-17 00:00:00+08:00,10702.6,10757.01,10688.55,10690.96,2069100
2018-08-20 00:00:00+08:00,10698.76,10729.9,10663.44,10699.05,2057400
2018-08-21 00:00:00+08:00,10697.01,10792.2,10697.01,10792.2,1972500
2018-08-22 00:00:00+08:00,10790.24,10828.21,10774.69,10804.2,2018400
2018-08-23 00:00:00+08:00,10817.33,10863.13,10802.79,10863.13,1938600
2018-08-24 00:00:00+08:00,10865.91,10865.91,10770.32,10809.35,1748700
2018-08-27 00:00:00+08:00,10847.17,10916.69,10847.17,10902.21,1710800
2018-08-28 00:00:00+08:00,10946.33,11005.55,10946.33,10989.55,1940600
2018-08-29 00:00:00+08:00,11029.12,11099.57,11029.11,11099.57,1822900
2018-08-30 00:00:00+08:00,11153.97,11186.05,11080.07,11093.75,1915800
2018-08-31 00:00:00+08:00,11037.26,11063.94,10987.68,11063.94,2081900
2018-09-03 00:00:00+08:00,11087.86,11097.11,10952.85,10964.22,1897900
2018-09-04 00:00:00+08:00,10981.39,11028.27,10956.49,11021.38,1653400
2018-09-05 00:00:00+08:00,11042.41,11058.06,10989.93,10995.13,1898700
2018-09-06 00:00:00+08:00,11016.92,11016.92,10905.34,10924.3,2038400
2018-09-07 00:00:00+08:00,10922.55,10922.55,10807.56,10846.99,2491300
2018-09-10 00:00:00+08:00,10869.8,10877.72,10689.29,10725.8,2600600
2018-09-11 00:00:00+08:00,10723.0,10765.42,10669.59,10752.3,2098700
2018-09-12 00:00:00+08:00,10762.91,10779.93,10667.25,10722.57,1938500
2018-09-13 00:00:00+08:00,10726.67,10758.84,10701.25,10727.23,1811500
2018-09-14 00:00:00+08:00,10776.53,10882.04,10770.47,10868.14,2068800
2018-09-17 00:00:00+08:00,10881.78,10883.98,10806.73,10828.61,1698100
2018-09-18 00:00:00+08:00,10794.22,10806.56,10750.81,10760.21,1938500
2018-09-19 00:00:00+08:00,10808.5,10882.75,10808.5,10857.27,1999200
2018-09-20 00:00:00+08:00,10886.19,10908.36,10814.54,10831.41,2090900
2018-09-21 00:00:00+08:00,10857.1,10972.41,10835.84,10972.41,2539000
2018-09-25 00:00:00+08:00,10959.56,11003.49,10941.77,10978.85,1987200
2018-09-26 00:00:00+08:00,10974.08,11007.35,10947.29,10974.19,1855200
2018-09-27 00:00:00+08:00,10973.77,11051.09,10961.27,11034.19,2089800
2018-09-28 00:00:00+08:00,11050.09,11073.95,10966.96,11006.34,2192700
2018-10-01 00:00:00+08:00,11014.19,11062.43,11012.95,11051.8,1646700
2018-10-02 00:00:00+08:00,11048.89,11064.34,10906.42,10919.63,1802400
2018-10-03 00:00:00+08:00,10918.74,10926.73,10839.46,10863.94,1696000
2018-10-04 00:00:00+08:00,10826.19,10826.19,10707.76,10718.91,1874000
2018-10-05 00:00:00+08:00,10665.29,10669.63,10446.94,10517.12,2735700
2018-10-08 00:00:00+08:00,10467.85,10507.83,10403.13,10455.93,1796600
2018-10-09 00:00:00+08:00,10464.39,10503.1,10428.97,10466.83,2097200
2018-10-11 00:00:00+08:00,10272.04,10272.04,9797.93,9806.11,4348500
2018-10-12 00:00:00+08:00,9811.58,10046.01,9740.76,10045.81,2724400
2018-10-15 00:00:00+08:00,9989.63,9989.63,9890.47,9901.12,2044700
2018-10-16 00:00:00+08:00,9891.97,10011.19,9888.73,9981.1,1888800
2018-10-17 00:00:00+08:00,10048.43,10127.01,9978.25,9979.14,1856700
2018-10-18 00:00:00+08:00,9975.46,10019.5,9919.79,9953.73,1611800
2018-10-19 00:00:00+08:00,9879.47,9919.26,9762.91,9919.26,2417000
2018-10-22 00:00:00+08:00,9871.3,9984.15,9822.15,9974.28,1481700
2018-10-23 00:00:00+08:00,9912.28,9912.28,9775.2,9775.2,1711300
2018-10-24 00:00:00+08:00,9774.29,9809.19,9667.85,9759.4,2135200
2018-10-25 00:00:00+08:00,9622.95,9622.95,9475.61,9520.79,2456900
2018-10-26 00:00:00+08:00,9570.19,9629.07,9400.69,9489.18,2247500
2018-10-29 00:00:00+08:00,9515.43,9554.35,9459.12,9516.32,1787600
2018-10-30 00:00:00+08:00,9508.81,9574.83,9481.66,9526.11,1671600
2018-10-31 00:00:00+08:00,9588.86,9802.13,9588.86,9802.13,2211300
2018-11-01 00:00:00+08:00,9812.2,9869.59,9742.61,9844.74,1992200
2018-11-02 00:00:00+08:00,9871.4,9906.59,9817.29,9906.59,2238700
2018-11-05 00:00:00+08:00,9856.85,9889.81,9786.25,9889.81,1847700
2018-11-06 00:00:00+08:00,9888.41,9899.97,9782.86,9824.95,1984100
2018-11-07 00:00:00+08:00,9818.15,9912.53,9817.95,9908.35,1867900
2018-11-08 00:00:00+08:00,9958.47,10014.42,9938.55,9945.31,2038400
2018-11-09 00:00:00+08:00,9921.78,9921.78,9798.45,9830.01,1597500
2018-11-12 00:00:00+08:00,9806.8,9875.84,9764.46,9831.21,1553300
2018-11-13 00:00:00+08:00,9727.17,9777.35,9616.16,9775.84,1893900
